RN#,RANK,MOS,BDE,UNIT,RPFT ,RPFT RT,P/U,S/U,5MI,Pull-ups,CWSA ,L/N 1,L/N 2,L/N 3,BUDDY RUN,12 MILE,12 MILE RETEST,ORDER 1,PATROL 1,ORDER 2,PATROL 2,ADMIN,UNIT CONTACTE,MISSINIG PAPERWOEK
2,SPC ,12N,1BCT,7th EN BN 630th,NOGO,GO,43/62,64/76,35:15/35:08,6,GO,5-May,5-Apr,5-Apr,GO,2:39:22,,,,,,,,"MEED,IMM, PAN"
5,SPC ,11B,2BCT,4-31 C Co.,NOGO,NOGO,58/56,60/73,39:23/36:51,6,GO,5-May,5-Apr,5-May,GO,2:54:36,,,,,,,,"4187, MED"
8,2LT,11A,1BCT,1-89INF HHC,GO,N/A,58,74,38:46:00,6,GO,5-May,5-May,5-May,GO,2:46:18,,,,,,,,"4187, SGLI, MED/IMM. PANOREX"
10,SGT,11B,2BCT,4-31 INF C Co.,NOGO,GO,54/64,66/72,37:58/36:26,6,GO,5-Apr,0/5,5-May,GO,2:55:00,,,,,,,,
11,SSG,11B,2BCT,2-14 INF B. Co,NOGO,GO,51/64,59/58,36:58/35:26,6,GO,5-Apr,5-May,5-May,GO,2:55:12,,,,,,,,"DD93/SGLI, MED/IMM. PANOREX"
12,SGT,12B,1BCT,7th EN BN 630th,GO,N/A,67,70,37:01:00,6,GO,5-May,5-May,5-Apr,GO,2:46:50,,,,,,,,"MED/IMM. PANOREX, DD93 SGLI"
13,SGT,12B,1BCT,7th EN BN 630th,NOGO,GO,49/57,65/71,36:46/35:33,NOGO,GO,5-Apr,5-May,5-May,GO,2:39:22,,,,,,,,MED/IMM.
14,SPC ,19D, 4-10,3-89 CAV A TRP,GO,N/A,67,87,33:12:00,6,GO,5-May,5-Feb,5-May,GO,2:58:34,,,,,,,,IMM. PANOREX
15,SFC,11B,2BCT,2-87IN A Co.,GO,NA,57,57,35:32:00,6,NOGO,5-May,5-Apr,5-May,GO,2:48:50,,,,,,,,"4187, DD93/SGLI. MED/IMM. PANOREX"
16,1LT,11A, 4-10,2-30INF C Co.,NOGO,GO,52/67,76/79,38:08/36:07,6,GO,5-May,5-May,5-May,GO,2:55:14,,,,,,,,MED/IMM. PANOREX
17,SSG,11B,1BCT,1-32 INF B Co.,NOGO,GO,54/56,83/83,37:19/36:06,6,GO,5-Apr,5-Apr,5-Mar,GO,2:55:48,,,,,,,,"4187, MED, PANOREX"
19,SrA,1C451,AF,70th ASOS DET ,NOGO,NOGO,51/70,69/74,37:00/35:39,6,GO,0/5,0/5,5-Mar,GO,2:55:19,,,,,,,,
20,1LT,13A,2BCT,2-15FA C BTRY,GO,N/A,57,69,35:55:00,6,GO,5-Apr,5-Apr,5-May,GO,2:54:36,,,,,,,,"4187, MED/IMM"
21,1LT,11A, 4-10,2-30INF B Co.,NOGO,GO,49/69,79/76,37:47/36:40,6,GO,5-May,5-May,5-May,GO,2:55:00,,,,,,,,MED/IMM. PANOREX
22,SPC ,13B,2BCT,2-15 FA C BTRy,NOGO,NOGO,55/62,70/71,30:31/34:08,6,GO,5-Feb,5-Mar,5-May,GO,2:59:40,,,,,,,,"PHYS(UNIT), DD93/SGLI, MED/IMM."
23,SPC ,11B,2BCT,4-31INF C Co.,GO,N/A,58,72,39:23:00,6,GO,5-May,5-Feb,5-May,GO,2:54:36,,,,,,,,
25,2LT,11A, 4-10,2-30INF B Co.,NOGO,NOGO,49,76,37:19:00,6,GO,5-May,5-May,5-May,GO,2:59:10,,,,,,,,IMM. PANOREX
26,SSG,11B,1BCT,1-32 INF B Co.,GO,N/A,57,73,34:13:00,6,GO,5-May,5-Apr,5-May,GO,2:55:48,,,,,,,,"MED., PANOREX"
27,SPC ,13D,2BCT,2-15 FA,GO,NA,57,72,35:56:00,6,GO,5-May,5-Feb,5-May,GO,2:54:36,,,,,,,,"DD93,SGLI,MED,IMM,PAN"
30,2LT,11A, 4-10,2-30INF B Co.,NOGO,GO,55/58,75/77,36:39/35:01,6,GO,5-Apr,5-May,5-May,GO,2:54:45,,,,,,,,
32,SSG,11B, 4-10,2-30INF B Co.,NOGO,NOGO,47/51,72/74,37:39/36:07,6,GO,5-May,5-Apr,5-May,GO,2:54:00,,,,,,,,MED/IMM. PANOREX
36,PFC,12B, 4-10,BSTB A Co,GO,NA,62,70,33:09:00,6,GO,5-Apr,5-Apr,5-Mar,GO,2:54:22,,,,,,,,MED/IMM
40,SPC ,11B,2BCT,2-14 INF A. Co,GO,N/A,64,73,30:31:00,6,GO,5-May,5-Apr,5-Mar,GO,2:43:44,,,,,,,,"4187, DD93/SGLI(UNIT), MED/IMM. PANOREX"
43,1LT,12A,2BCT,"41st EN BN, HHC",GO,NA,65,71,37:07:00,6,GO,5-May,5-May,5-May,GO,2:44:00,,,,,,,,EVERYTHING
45,SSG,11B,10-Apr,2-4 IN,NOGO,NOGO,55/47,71/75,35:17/36:29,6,GO,5-May,5-Apr,5-May,GO,2:44:00,,,,,,,,"4187(UNIT), MED/IMM. PANOREXC"
46,PFC,11B,2BCT,4-31INF A Co.,NOGO,NOGO,46/56,74/76,31:50/32:43,6,GO,5-May,5-Apr,5-May,GO,2:40:44,,,,,,,,
48,CPT,12A,2 BCT,"41st EN BN, HHC",GO,NA,61,78,37:25:00,6,GO,5-May,5-May,5-Apr,GO,2:49:00,,,,,,,,
